"EM","Priority Mail Express"
"PM","Priority Mail"
"FCM","First-Class Mail"
"PRCLSEL","Parcel Select—Ground"
"STDPOST","Retail Ground (formerly Standard Post)"
"LIB","Library Mail"
"MEDIA","Media Mail"
"PMOD","Priority Mail Open and Distribute"
"EMI","Priority Mail Express International"
"PMI","Priority Mail International"
"FCMI","First-Class Mail International"
"FCPIS","First-Class Package International Service"
"ADSIG","Adult Signature Required"
"ADSIGRD","Adult Signature with Restricted Delivery"
"Cert","Certified Mail"
"CERTAD","Certified Mail with Adult Signature"
"CERTADRD","Certified Mail with Adult Signature and Restricted Delivery"
"CertRD","Certified Mail with Restricted Delivery"
"COD","Collect On Delivery (COD)"
"CODRD","Collect On Delivery with Restricted Delivery"
"DelCon","Delivery Confirmation"
"ERR","Electronic Return Receipt"
"hazmat","Hazardous Materials"
"holiday","Holiday Delivery."
"Ins","Insured Mail"
"InsRD","Insured Mail with Restricted Delivery"
"liveanimal","Live Animal"
"liveanimal-poultry","Live Animal - Day Old Poultry"
"PMOD_OPTIONS","Priority Mail Open and Distribute"
"Reg","Registered Mail"
"RegCOD","Registered Mail with COD"
"RegIns","Registered Mail with Insurance"
"RegInsRD","Registered Mail with Insurance and Restricted Delivery"
"RegRD","Registered Mail with Restricted Delivery"
"RR","Return Receipt"
"SH","Special Handling - Fragile"
"Sig","Signature Confirmation"
"SigRD","Signature with Restricted Delivery"
"sunday","Sunday Delivery"
"sunday-holiday","Sunday holiday Delivery"
